lugar_id,nombre_lugar,otros_nombres,lat,lon,tipo,es_parte_de_id,coordenadas
282,china,,17.306111111,-95.989444444,pais,,"(17.306111111, -95.989444444)"
283,zibu,,30.4017,93.6903,ciudad,,"(30.4017, 93.6903)"
288,india,,20.47222,-103.26278,pais,,"(20.47222, -103.26278)"
290,minas de guanajuato,,None,None,villa,,"(None, None)"
291,los angeles,,20.56585,-100.92356,ciudad,,"(20.56585, -100.92356)"
292,guanajuato,,21.018888888,-101.262777777,region,,"(21.018888888, -101.262777777)"
293,juchipila,,21.3835,-103.10521,ciudad,,"(21.3835, -103.10521)"
295,nochistlán,,21.44178,-102.85024,ciudad,,"(21.44178, -102.85024)"
296,villa de jeréz,,22.78835,-103.22659,villa,,"(22.78835, -103.22659)"
297,chametla,,22.8775,-105.9575,real,,"(22.8775, -105.9575)"
298,ameca,,20.53572,-104.05076,villa,,"(20.53572, -104.05076)"
299,culiacán,,24.79032,-107.38782,villa,,"(24.79032, -107.38782)"
300,zapotlán,,19.70522,-103.46709,pueblo,,"(19.70522, -103.46709)"
301,valle de aguacatitlan,,None,None,pueblo,,"(None, None)"
302,jicotlan,,17.80687,-97.47078,pueblo,,"(17.80687, -97.47078)"
303,jurisdicción de nieves,,None,None,region,,"(None, None)"
304,real de charcas,,23.18972,-101.06972,villa,,"(23.18972, -101.06972)"
305,zayula,,None,None,pueblo,,"(None, None)"
306,"real de minas de san juan de tepezalá, jurisdicción de aguascalientes",,None,None,real,,"(None, None)"
307,de san antonio tuscacuesco,,None,None,pueblo,,"(None, None)"
308,tangancícuaro,,19.88733,-102.20636,villa,,"(19.88733, -102.20636)"
309,irapuato,,20.67675,-101.35628,villa,,"(20.67675, -101.35628)"
310,zapopan,,20.72356,-103.38479,villa,,"(20.72356, -103.38479)"
311,ajijic,,20.30325,-103.25476,villa,,"(20.30325, -103.25476)"
312,jiquilpan,,19.98474,-102.75099,villa,,"(19.98474, -102.75099)"
313,sonora,,29.833333333,-110.95,region,,"(29.833333333, -110.95)"
314,tacámbaro,,19.23502,-101.45824,villa,,"(19.23502, -101.45824)"
315,jurisdicción de colimilla,,None,None,region,,"(None, None)"
316,villa purificación,,19.78597,-104.70764,villa,,"(19.78597, -104.70764)"
317,jalpa,,21.216944444,-99.474444444,real,,"(21.216944444, -99.474444444)"
318,"rancho de los molinos, jurisdicción de aguascalientes",,None,None,region,,"(None, None)"
319,jurisdicción de la barca,,None,None,region,,"(None, None)"
320,villa de sierra de pinos y charcas,,None,None,villa,,"(None, None)"
321,minas del rosario,,22.99046,-105.86696,real,,"(22.99046, -105.86696)"
322,tacotlán,,20.8187,-103.18857,villa,,"(20.8187, -103.18857)"
323,sentispac,,21.80478,-105.34593,villa,,"(21.80478, -105.34593)"
324,jacona,,19.95232,-102.30781,pueblo,,"(19.95232, -102.30781)"
325,hacienda de san andrés,,19.11882,-98.83327,region,,"(19.11882, -98.83327)"
327,jocotlán,,19.79318,-104.8742,pueblo,,"(19.79318, -104.8742)"
328,juanacatlán,,20.49874,-103.14939,villa,,"(20.49874, -103.14939)"
329,salvatierra,,20.215,-100.878055555,ciudad,,"(20.215, -100.878055555)"
